payment_type,total_revenue,avg_revenue,trip_count
0,9578965.630000003,29.30521288344873,326869
1,287626636.23949647,28.824466161847262,9978559
2,50474275.84001139,23.518806853663342,2146124
3,822663.0400000003,10.530760880696368,78120
4,337220.31000000006,2.357129047139742,143064
5,0.0,0.0,1
