day_of_week,avg_tip,trip_count
1,3.548350117661741,1661967
2,3.550628398882265,1527708
3,3.4294584545956988,1775419
4,3.4722212920868176,1891003
5,3.5177442897286237,1976526
6,3.4254442539496583,1938227
7,3.194198813157768,1901011
